cost	category	item_id	display_name	override_display_name
0	Set	LSABN.	LSABN.	SHINY ROCK SPECIAL
0	Set	Early Access Supporter Pack	Early Access Supporter Pack	
0	Badge	LBAAD.	LBAAD.	ADMINISTRATOR BADGE
1000	Face	LFAAN.	LFAAN.	AVIATORS
2000	Hat	LHAAA.	LHAAA.	BANANA HAT
0	Hat	LHABB.	LHABB.	CHROME COWBOY HAT
1000	Hat	LHAAM.	LHAAM.	CLOCHE
2000	Hat	LHAAK.	LHAAK.	COCONUT
1500	Hat	LHAAN.	LHAAN.	COWBOY HAT
0	Badge	LBAAE.	LBAAE.	EARLY ACCESS
1000	Hat	LHAAO.	LHAAO.	FEZ
1000	Hat	LHAAL.	LHAAL.	SUNHAT
0	Hat	LHABA.	LHABA.	SUNNY SUNHAT
0	Set	LSAAS.	LSAAS.	SWEETHEART BUNDLE
1000	Hat	LHAAP.	LHAAP.	TOP HAT
1000	Face	LFAAM.	LFAAM.	TORTOISESHELL SUNGLASSES
1000	Hat	LHAAF.	LHAAF.	BASEBALL CAP
1000	Hat	LHAAQ.	LHAAQ.	BASIC BEANIE
1000	Face	LFAAC.	LFAAC.	BASIC EARRINGS
1000	Shirt	LBAAC.	LBAAC.	BASIC SCARF
1000	Face	LFAAA.	LFAAA.	BIG EYEBROWS
500	Shirt	LBAAB.	LBAAB.	BOWTIE
2500	Face	LFABC.	LFABC.	BOXY SUNGLASSES
1000	Badge	LBAAG.	LBAAG.	CANYON PIN
2500	Hat	LHABC.	LHABC.	CHEFS HAT
1000	Badge	LBAAH.	LBAAH.	CITY PIN
1000	Face	LFAAJ.	LFAAJ.	DOUBLE EYEPATCH
1000	Face	LFAAE.	LFAAE.	EYEBROW STUD
2000	Hat	LHAAS.	LHAAS.	FLOWER CROWN
2000	Hat	LHAAH.	LHAAH.	FOREHEAD MIRROR
2000	Face	LFAAK.	LFAAK.	GOGGLES
5000	Hat	LHAAG.	LHAAG.	GOLDEN HEAD
2000	Badge	LBAAI.	LBAAI.	GORILLA PIN
2000	Hat	LHABP.	LHABP.	HEADPHONES1
500	Face	LFAAI.	LFAAI.	LEFT EYEPATCH
1000	Badge	LBABH.	LBABH.	MOUNTAIN PIN
1000	Shirt	LBAAJ.	LBAAJ.	NECK SCARF
1000	Face	LFAAB.	LFAAB.	NOSE RING
500	Hat	LHAAC.	LHAAC.	PARTY HAT
2000	Hat	LHAAI.	LHAAI.	PINEAPPLE HAT
500	Face	LFAAH.	LFAAH.	RIGHT EYEPATCH
1500	Face	LFAAO.	LFAAO.	ROUND SUNGLASSES
500	Face	LFAAL.	LFAAL.	SURGICAL MASK
500	Hat	LHAAE.	LHAAE.	SWEATBAND
